"NumSorted", "InsertAsgn", "SelectAsgn", "HeapAsgn", "MergeAsgn", "QuickAsgn"
        500,       63604,       1497,     5667,      8976,     11077
       1000,      254367,      2997,    12335,     19952,    20910
       1500,      554593,      4497,    19415,     31904,    31817
       2000,     1003673,     5997,   26684,    43904,   42034
       2500,     1606137,     7497,   34207,    56808,   61245
       3000,     2272438,     8997,   41845,    69808,   73052
       3500,     3083561,     10497,   49556,    82808,   84271
       4000,     3997707,     11997,   57388,    95808,   103077
       4500,     5066605,     13497,   65354,    109616,   110984
       5000,     6349094,     14997,   73410,    123616,   140953
       5500,     7670593,     16497,   81442,    137616,   146739
       6000,     9080166,     17997,   89631,    151616,   162854
