"NumSorted", "InsertComp", "SelectComp", "HeapComp", "MergeComp", "QuickComp"
        500,       63597,       125249,     7000,      4344,     6569
       1000,      254362,      500499,    15967,     9700,    14031
       1500,      554589,      1125749,    25813,     15467,    22327
       2000,     1003667,     2000999,   35962,    21400,   30947
       2500,     1606133,     3126249,   46662,    27595,   39351
       3000,     2272433,     4501499,   57608,    33950,   47423
       3500,     3083553,     6126749,   68686,    40320,   56522
       4000,     3997696,     8001999,   79945,    46820,   65912
       4500,     5066599,     10127249,   91547,    53511,   74831
       5000,     6349081,     12502499,   103334,    60253,   90808
       5500,     7670586,     15127749,   115147,    66972,   92940
       6000,     9080159,     18002999,   127042,    73910,   102906
